sku,name,published,price_status,cost_status,stock_status,image_status,supplier_status,shipping_status,readiness,blocker_reason
NP-VOR-001,VORTEX Cámara Espaciadora,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_REFERENCE_IMAGE,IMPORTANT_supplier missing,OK,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (reference); temporary SKU; conceptual/demo copy
NP-AER-002,AeroChamber Plus Flow-Vu,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_REFERENCE_IMAGE,IMPORTANT_supplier missing,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (reference); temporary SKU; conceptual/demo copy
NP-FLM-003,Flujómetro Peak Flow,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-NEU-004,Chupón para nebulizador,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-NLM-005,NeilMed Pedia Mist,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_REFERENCE_IMAGE,IMPORTANT_supplier missing,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (reference); temporary SKU; conceptual/demo copy
NP-STR-006,Stérimar Higiene Nasal,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_REFERENCE_IMAGE,IMPORTANT_supplier missing,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (reference); temporary SKU; conceptual/demo copy
NP-NEU-007,Mascarilla pediátrica para nebulización,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-NEU-008,Kit de nebulización pediátrico,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,BLOCKER_NO_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; no sellable stock; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-PAR-009,Nebulizador mesh portátil,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,BLOCKER_NO_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; no sellable stock; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-PHI-010,Oxímetro pediátrico,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,BLOCKER_NO_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; no sellable stock; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-ACC-011,Boquilla para cámara espaciadora,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-ACC-012,Mascarilla de repuesto para aerocámara,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (pending); temporary SKU; conceptual/demo copy
