product_id,sku,name,brand,manufacturer,model,asset_status,asset_path,source_url,source_type,resolution,production_approved,search_status,needs_commercial_identification,published,notes
vortex-camara-espaciadora,NP-VOR-001,VORTEX Cámara Espaciadora,PARI,PARI,"VORTEX holding chamber: child mask, mouthpiece, adult mask",reference,/products/pari/pari-vortex-child-mask-front.webp,https://www.pari.com/int/products/vortex-holding-chamber/,manufacturer,1652x824,false,official-found,false,true,VORTEX tratado como linea de producto de PARI; variantes oficiales separadas en galeria.
aerochamber-plus-flow-vu,NP-AER-002,AeroChamber Plus Flow-Vu,AeroChamber,Trudell Medical International,AeroChamber Plus Flow-Vu Chamber,reference,/products/aerochamber/aerochamber-plus-flowvu-front.webp,https://www.trudellmed.com/global/en/products/aerochamber-plus-flow-vu-chamber,manufacturer,622x346,false,official-low-resolution,false,true,El sitio oficial de Trudell expone la variante product_main_xl en 622x346; no se hizo upscale.
flujometro-peak-flow,NP-FLM-003,Flujómetro Peak Flow,Flow-Meter,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
chupon-para-nebulizador,NP-NEU-004,Chupón para nebulizador,NeumoPractice,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
neilmed-pedia-mist,NP-NLM-005,NeilMed Pedia Mist,NeilMed,NeilMed,"PediaMist / NasaMist Pediatric Saline Spray, SKU PNM-4NB-48-ENU-USL",reference,/products/neilmed/neilmed-pediamist-front.webp,https://shop.neilmed.com/products/pediamist,manufacturer,1000x1000,false,official-found,false,true,
sterimar-higiene-nasal,NP-STR-006,Stérimar Higiene Nasal,Stérimar,Sterimar,Breathe Easy Daily 50ml,reference,/products/sterimar/sterimar-breathe-easy-daily-front.webp,https://www.sterimar.com/en/our-products/breathe-easy-daily/,manufacturer,750x750,false,official-found,false,true,
mascarilla-pediatrica-nebulizacion,NP-NEU-007,Mascarilla pediátrica para nebulización,NeumoPractice,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
kit-nebulizacion-pediatrico,NP-NEU-008,Kit de nebulización pediátrico,NeumoPractice,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
nebulizador-mesh-portatil,NP-PAR-009,Nebulizador mesh portátil,PARI,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
oximetro-pediatrico,NP-PHI-010,Oxímetro pediátrico,Philips Respironics,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
boquilla-camara-espaciadora,NP-ACC-011,Boquilla para cámara espaciadora,NeumoPractice,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
mascarilla-repuesto-aerocamara,NP-ACC-012,Mascarilla de repuesto para aerocámara,NeumoPractice,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
estuche-aerocamara,NP-ACC-013,Estuche para aerocámara,NeumoPractice,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
solucion-salina-nasal,NP-NLM-014,Solución salina nasal,NeilMed,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
ejercitador-respiratorio-pep,NP-TRP-015,Ejercitador respiratorio / PEP conceptual,NeumoPractice,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
filtro-repuesto-nebulizador,NP-ACC-016,Filtros de repuesto para nebulizador,NeumoPractice,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
manguera-nebulizador-standard,NP-ACC-017,Manguera estándar para nebulizador,NeumoPractice,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
irrigador-nasal-adulto,NP-NLM-018,Irrigador nasal adulto,NeilMed,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
boquilla-peak-flow-repuesto,NP-ACC-019,Boquilla de repuesto para Peak Flow,Flow-Meter,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
valvula-repuesto-aerocamara,NP-ACC-020,Válvula de repuesto para aerocámara,NeumoPractice,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
inspirometro-incentivo-conceptual,NP-TRP-021,Inspirómetro incentivo conceptual,NeumoPractice,,,pending,,,placeholder,,false,needs-sku,true,false,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
mascarilla-adulto-nebulizacion,NP-NEU-022,Mascarilla adulto para nebulización,NeumoPractice,,,pending,,,placeholder,,false,needs-sku,true,true,Requiere SKU/fabricante/modelo o fotografia fisica antes de publicar como producto identificado.
